time,temperature
1735549200,24.6
1735552800,23.8
1735556400,23.4
1735560000,22.8
1735563600,22.8
1735567200,22.2
1735570800,22.1
1735574400,22.1
1735578000,21.7
1735581600,21.5
1735585200,21.3
1735588800,21.3
1735592400,21.2
1735596000,21.0
1735599600,21.4
1735603200,22.6
1735606800,24.0
1735610400,24.6
1735614000,26.4
1735617600,27.1
1735621200,28.0
1735624800,28.1
1735628400,27.2
1735632000,27.1
1735635600,26.4
1735639200,25.5
1735642800,24.3
1735646400,23.3
1735650000,24.0
1735653600,23.2
1735657200,21.9
1735660800,22.3
1735664400,21.8
1735668000,21.1
1735671600,21.1
1735675200,20.9
1735678800,20.7
1735682400,20.5
1735686000,20.3
1735689600,22.5
1735693200,23.8
1735696800,25.3
1735700400,26.6
1735704000,27.9
1735707600,29.0
1735711200,26.9
1735714800,25.0
1735718400,24.1
1735722000,23.4
1735725600,23.4
1735729200,23.0
1735732800,22.2
1735736400,21.3
1735740000,21.2
1735743600,20.9
1735747200,20.9
1735750800,20.8
1735754400,20.7
1735758000,20.5
1735761600,20.4
1735765200,20.2
1735768800,20.2
1735772400,20.4
1735776000,21.9
1735779600,23.4
1735783200,25.3
1735786800,26.7
1735790400,27.9
1735794000,28.5
1735797600,28.9
1735801200,28.6
1735804800,27.9
1735808400,26.8
1735812000,25.7
1735815600,24.7
1735819200,24.2
1735822800,24.4
1735826400,22.7
1735830000,22.3
1735833600,21.9
1735837200,21.6
1735840800,20.6
1735844400,20.2
1735848000,19.6
1735851600,19.1
1735855200,18.5
1735858800,18.6
1735862400,20.8
1735866000,24.0
1735869600,25.5
1735873200,26.9
1735876800,28.2
1735880400,29.1
1735884000,29.7
1735887600,29.8
1735891200,29.7
1735894800,28.4
1735898400,26.6
1735902000,24.0
1735905600,23.8
1735909200,23.9
1735912800,23.6
1735916400,23.2
1735920000,23.2
1735923600,21.8
1735927200,20.7
1735930800,19.7
1735934400,19.4
1735938000,18.7
1735941600,18.3
1735945200,18.4
1735948800,21.4
1735952400,24.5
1735956000,26.5
1735959600,27.9
1735963200,28.3
1735966800,28.0
1735970400,28.0
1735974000,26.0
1735977600,23.4
1735981200,23.4
1735984800,23.6
1735988400,23.3
1735992000,22.8
1735995600,22.6
1735999200,22.0
1736002800,22.0
1736006400,21.9
1736010000,21.6
1736013600,21.1
1736017200,21.0
1736020800,20.4
1736024400,20.0
1736028000,20.2
1736031600,20.1
1736035200,22.0
1736038800,24.5
1736042400,26.1
1736046000,27.1
1736049600,27.1
1736053200,26.6
1736056800,25.8
1736060400,27.3
1736064000,26.8
1736067600,24.3
1736071200,23.7
1736074800,23.3
1736078400,22.5
1736082000,21.9
1736085600,21.2
1736089200,20.4
1736092800,20.3
1736096400,19.8
1736100000,19.6
1736103600,19.3
1736107200,19.6
1736110800,19.1
1736114400,18.8
1736118000,18.5
1736121600,21.2
1736125200,23.5
1736128800,25.5
1736132400,26.7
1736136000,28.0
1736139600,28.6
1736143200,28.8
1736146800,28.5
1736150400,25.3
1736154000,25.2
1736157600,23.4
1736161200,21.7
1736164800,21.1
1736168400,22.1
1736172000,22.0
1736175600,22.1
1736179200,22.1
1736182800,22.1
1736186400,21.9
1736190000,21.7
1736193600,21.3
1736197200,20.8
1736200800,20.0
1736204400,19.6
1736208000,21.7
1736211600,23.5
1736215200,25.4
1736218800,27.0
1736222400,27.3
1736226000,27.6
1736229600,27.4
1736233200,26.1
1736236800,25.2
1736240400,23.5
1736244000,21.6
1736247600,21.9
1736251200,21.7
1736254800,21.1
1736258400,21.2
1736262000,21.3
1736265600,21.1
1736269200,20.8
1736272800,21.0
1736276400,20.6
1736280000,20.3
1736283600,20.3
1736287200,20.0
1736290800,19.9
1736294400,21.9
1736298000,23.3
1736301600,24.2
1736305200,24.3
1736308800,25.4
1736312400,26.0
1736316000,25.7
1736319600,24.8
1736323200,24.6
1736326800,24.4
1736330400,24.3
1736334000,23.5
1736337600,22.7
1736341200,22.7
1736344800,22.6
1736348400,22.1
1736352000,21.6
1736355600,21.3
1736359200,21.0
1736362800,20.0
1736366400,19.9
1736370000,19.7
1736373600,19.8
1736377200,19.7
1736380800,20.6
1736384400,21.3
1736388000,22.0
1736391600,23.7
1736395200,24.3
1736398800,24.5
1736402400,23.8
1736406000,24.4
1736409600,24.3
1736413200,24.2
1736416800,24.1
1736420400,23.3
1736424000,22.5
1736427600,22.3
1736431200,21.3
1736434800,20.8
1736438400,20.6
1736442000,20.4
1736445600,20.4
1736449200,20.5
1736452800,20.4
1736456400,20.3
1736460000,20.2
1736463600,20.1
1736467200,22.2
1736470800,24.3
1736474400,25.8
1736478000,26.8
1736481600,27.1
1736485200,27.0
1736488800,27.5
1736492400,25.8
1736496000,25.0
1736499600,24.2
1736503200,23.5
1736506800,22.3
1736510400,22.3
1736514000,22.4
1736517600,22.1
1736521200,22.0
1736524800,21.9
1736528400,21.8
1736532000,21.6
1736535600,21.8
1736539200,21.2
1736542800,20.9
1736546400,20.4
1736550000,20.0
1736553600,22.0
1736557200,23.1
1736560800,24.4
1736564400,26.5
1736568000,27.5
1736571600,28.0
1736575200,27.9
1736578800,24.7
1736582400,24.8
1736586000,23.7
1736589600,23.3
1736593200,22.6
